Rank,Team,Run,Pass,Overall
1,SAINTS,4.5,4.5,4.5
2,COWBOYS,5,4,4.5
3,FALCONS,5,4,4.5
4,EAGLES,4,4.5,4.25
5,STEELERS,4,4.5,4.25
6,RAIDERS,4.5,4,4.25
7,RAVENS,4,4,4
8,RAMS,4.5,3.5,4
9,PATRIOTS,4.5,3.5,4
10,JAGUARS,4,3.5,3.75
11,TITANS,3.5,3.5,3.5
12,CHIEFS,3.5,3.5,3.5
13,PACKERS,4,3,3.5
14,GIANTS,3.5,3.5,3.5
15,BEARS,3.5,3,3.25
16,VIKINGS,3,3.5,3.25
17,49ERS,3.5,3,3.25
18,CHARGERS,2.5,4,3.25
19,BROWNS,4,2.5,3.25
20,COLTS,3,3,3
21,BUCCANEERS,3,3,3
22,REDSKINS,3,2.5,2.75
23,BENGALS,2.5,3,2.75
24,DOLPHINS,2,3.5,2.75
25,LIONS,2,3,2.5
26,BRONCOS,3,2,2.5
27,PANTHERS,2,3,2.5
28,CARDINALS,3,2,2.5
29,SEAHAWKS,2.5,2,2.25
30,JETS,2,2.5,2.25
31,TEXANS,2,2.5,2.25
32,BILLS,2,1,1.5
